 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481042333.0 177.45 0.165 0.0087  32.05 0.0025   1.40 -0.41
   5.9  567.10  562.50 842203.9 178.40 0.187 0.0043 117.90 0.0012  50.02 -0.65
   8.4  567.06  562.53 637259.9 177.00 0.208 0.0013   3.75 0.0037  41.44 -0.89
  11.5  567.07  562.49 458426.1 176.26 0.210 0.0003  87.60 0.0062  47.41 -1.10
  15.5  567.08  562.51 323203.0 176.63 0.211 0.0009  13.73 0.0042  44.59 -1.23
  20.5  567.08  562.52 227520.4 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 158391.6 176.72 0.213 0.0007  47.00 0.0025  44.66 -1.47
  34.0  567.10  562.46 109762.4 176.90 0.214 0.0017  19.54 0.0039  47.30 -1.56
  42.8  567.00  562.46  77260.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.59
  53.1  566.97  562.38  54687.3 176.59 0.219 0.0016 107.25 0.0026  37.67 -1.66
  65.3  566.89  562.11  38694.3 176.72 0.216 0.0046 107.36 0.0015  43.86 -1.75
  79.5  567.00  562.15  27472.5 177.37 0.210 0.0038  20.80 0.0045  47.35 -1.80
  95.8  567.02  562.22  19679.9 177.35 0.208 0.0008  29.10 0.0043  47.42 -1.83
 114.5  567.09  562.43  14300.5 177.43 0.204 0.0044  69.15 0.0050  48.09 -1.83
 135.9  567.23  562.36  10496.0 177.41 0.198 0.0021 106.43 0.0038  46.56 -1.85
 160.1  567.30  562.42   7776.9 177.60 0.197 0.0006  32.66 0.0045  49.91 -1.90
 187.4  567.39  562.40   5738.1 177.13 0.195 0.0029  76.97 0.0022  76.92 -2.01
 218.1  567.39  561.98   4215.7 177.25 0.189 0.0075  87.51 0.0039  71.70 -2.09
 252.3  567.81  560.99   3110.2 178.05 0.187 0.0124  92.28 0.0034  59.88 -2.19
 290.5  567.64  560.93   2262.7 178.08 0.174 0.0158  75.63 0.0065  42.20 -2.33
 332.8  569.71  562.10   1648.2 177.65 0.169 0.0079  71.28 0.0166  56.88 -2.36
 379.7  569.87  558.93   1220.8 175.80 0.177 0.0109  77.38 0.0061  60.06 -2.41
 431.2  568.95  559.00    886.3 175.17 0.171 0.0080  59.87 0.0028   8.80 -2.60
 487.9  569.08  552.25    642.9 171.71 0.171 0.0140   8.53 0.0196  58.57 -3.03
 550.0  564.70  532.88    412.4 168.60 0.135 0.0675   9.97 0.0514  56.85 -4.95
