 SURFACE PHOTOMETRY PROFILE COMPUTATION: 

 Object:                                                                         
 Observation     0   Start: 0  0000000                            
 Exposure:   2012s   Status: EXT             
 RA: 0 h 0 m 0   s   DEC: +0 d 0 ' 0 "      ZD: 0 d 0 ' 0   "  
 C.C.D.: (NX x NY) = 1025 x 1022         CNPIX: (dx,dy) =     0    0
  Rmaj     x0      y0      I0    alpha ellip  I(3x)  A(3x)  I(4x)  A(4x) slope
   4.0  567.30  562.481042432.5 177.45 0.165 0.0087  32.04 0.0025   1.40 -0.41
   5.9  567.10  562.50 842303.9 178.40 0.187 0.0043 117.90 0.0012  50.02 -0.65
   8.4  567.06  562.53 637360.8 177.00 0.208 0.0013   3.75 0.0037  41.44 -0.89
  11.5  567.07  562.49 458526.0 176.26 0.210 0.0003  87.60 0.0062  47.41 -1.10
  15.5  567.08  562.51 323303.0 176.63 0.211 0.0009  13.73 0.0042  44.59 -1.23
  20.5  567.08  562.52 227620.4 176.54 0.214 0.0011  48.30 0.0024  44.19 -1.34
  26.6  567.08  562.51 158491.6 176.72 0.213 0.0007  46.99 0.0025  44.66 -1.47
  34.0  567.10  562.46 109862.4 176.90 0.214 0.0017  19.54 0.0039  47.30 -1.55
  42.8  567.00  562.46  77360.1 176.70 0.218 0.0029  34.83 0.0024  51.02 -1.59
  53.1  566.97  562.38  54787.3 176.59 0.219 0.0016 107.25 0.0026  37.67 -1.66
  65.3  566.89  562.11  38794.3 176.72 0.216 0.0046 107.36 0.0015  43.86 -1.74
  79.5  566.99  562.15  27568.9 177.39 0.210 0.0037  21.17 0.0044  47.43 -1.80
  95.8  567.02  562.22  19779.9 177.35 0.208 0.0008  29.10 0.0043  47.42 -1.82
 114.5  567.09  562.43  14400.5 177.43 0.204 0.0044  69.15 0.0049  48.09 -1.82
 135.9  567.23  562.36  10596.0 177.41 0.198 0.0021 106.43 0.0037  46.56 -1.83
 160.1  567.28  562.37   7885.0 177.54 0.198 0.0021  27.86 0.0044  49.76 -1.87
 187.4  567.37  562.45   5841.1 177.24 0.196 0.0025  75.31 0.0023  60.48 -1.98
 218.1  567.60  562.30   4309.9 177.68 0.190 0.0086  94.96 0.0035  12.48 -2.05
 252.3  567.67  560.95   3208.6 177.98 0.186 0.0111  92.29 0.0030  59.73 -2.12
 290.5  568.08  560.81   2353.6 178.15 0.173 0.0161  78.89 0.0068  45.20 -2.22
 332.8  569.79  562.75   1761.4 177.42 0.175 0.0140  70.46 0.0133  53.97 -2.14
 379.7  569.67  558.60   1345.3 176.08 0.184 0.0048  57.02 0.0074  70.79 -2.21
 431.2  568.58  558.73    991.9 175.48 0.171 0.0079   9.86 0.0022   9.20 -2.38
 487.9  569.66  554.79    752.6 172.66 0.171 0.0197 118.57 0.0088  44.73 -2.31
 550.0  561.56  535.87    569.6 171.84 0.170 0.0522  12.27 0.0307  62.73 -2.85
